name,k_optimal,k_solved,millis,verified
synth-n_10-m_12-k_2-p_0.2.txt,0,0,21,true
synth-n_10-m_12-k_4-p_0.2.txt,1,1,4,true
synth-n_10-m_2-k_2-p_0.05.txt,0,0,0,true
synth-n_10-m_2-k_4-p_0.05.txt,0,0,0,true
synth-n_10-m_5-k_2-p_0.1.txt,0,0,0,true
synth-n_10-m_5-k_4-p_0.1.txt,0,0,0,true
synth-n_20-m_10-k_2-p_0.05.txt,0,0,1,true
synth-n_20-m_11-k_6-p_0.05.txt,0,0,0,true
synth-n_20-m_18-k_4-p_0.05.txt,1,1,1,true
synth-n_20-m_20-k_4-p_0.1.txt,0,0,0,true
synth-n_20-m_25-k_2-p_0.1.txt,1,1,1,true
synth-n_20-m_25-k_8-p_0.1.txt,2,2,0,true
synth-n_20-m_38-k_6-p_0.1.txt,2,2,0,true
synth-n_20-m_48-k_2-p_0.2.txt,2,2,0,true
synth-n_20-m_54-k_8-p_0.2.txt,3,3,1,true
synth-n_20-m_58-k_4-p_0.2.txt,4,4,1,true
synth-n_20-m_59-k_6-p_0.2.txt,3,3,1,true
synth-n_20-m_9-k_8-p_0.05.txt,0,0,0,true
synth-n_30-m_111-k_8-p_0.2.txt,7,7,13,true
synth-n_30-m_114-k_6-p_0.2.txt,5,5,2,true
synth-n_30-m_117-k_10-p_0.2.txt,7,7,10,true
synth-n_30-m_25-k_2-p_0.05.txt,0,0,0,true
synth-n_30-m_28-k_4-p_0.05.txt,2,2,0,true
synth-n_30-m_28-k_6-p_0.05.txt,1,1,0,true
synth-n_30-m_28-k_8-p_0.05.txt,1,1,0,true
synth-n_30-m_35-k_10-p_0.05.txt,0,0,0,true
synth-n_30-m_55-k_4-p_0.1.txt,2,2,0,true
synth-n_30-m_58-k_6-p_0.1.txt,2,2,0,true
synth-n_30-m_60-k_2-p_0.1.txt,1,1,0,true
synth-n_30-m_64-k_8-p_0.1.txt,3,3,1,true
synth-n_30-m_73-k_10-p_0.1.txt,4,4,0,true
synth-n_30-m_97-k_2-p_0.2.txt,2,2,0,true
synth-n_30-m_99-k_4-p_0.2.txt,3,3,1,true
synth-n_40-m_112-k_8-p_0.1.txt,6,6,2,true
synth-n_40-m_114-k_10-p_0.1.txt,6,6,8,true
synth-n_40-m_114-k_15-p_0.1.txt,6,6,10,true
synth-n_40-m_176-k_2-p_0.2.txt,2,2,1,true
synth-n_40-m_185-k_4-p_0.2.txt,4,4,4,true
synth-n_40-m_192-k_10-p_0.2.txt,10,10,150,true
synth-n_40-m_192-k_15-p_0.2.txt,13,13,452,true
synth-n_40-m_194-k_6-p_0.2.txt,5,5,2,true
synth-n_40-m_203-k_8-p_0.2.txt,7,7,12,true
synth-n_40-m_36-k_2-p_0.05.txt,0,0,0,true
synth-n_40-m_47-k_6-p_0.05.txt,0,0,0,true
